,Number of Requests,Total Time (s),Longest Request Time (s),Average Request Time (s),Average RPS
getVersion,63,1.4459999999999982,1.398,0.022952380952380922,2.8636363636363638
getBalance,1191,3.9189999999999197,1.104,0.0032905121746430897,2.6233480176211454
getLatestBlockhash,1674,6.760999999999954,0.131,0.00403882915173235,3.3280318091451293
requestAirdrop,31,0.11800000000000002,0.074,0.0038064516129032266,1.4090909090909092
getSignatureStatuses,95,1.554999999999997,1.457,0.01636842105263155,4.318181818181818
isBlockhashValid,31,0.013000000000000003,0.002,0.00041935483870967754,1.4090909090909092
getBlock,8,3.3809999999999993,0.587,0.4226249999999999,8.0
getMinimumBalanceForRentExemption,1,0.864,0.864,0.864,1.0
getAccountInfo,20829,45.295999999999346,1.338,0.002174660329348473,31.89739663093415
simulateTransaction,23,0.02600000000000001,0.006,0.001130434782608696,11.5
sendTransaction,9960,103.45000000000178,0.921,0.010386546184739134,20.536082474226806
getTransaction,11196,113.75300000000267,0.374,0.01016014648088627,22.942622950819672
getMultipleAccounts,14531,49.515999999999146,0.37,0.0034076113137429735,22.669266770670827
getSlot,8159,25.926000000000684,0.429,0.003177595293540959,14.834545454545454
getBlockTime,3937,7.468000000000004,0.158,0.0018968757937515887,7.250460405156538
getHealth,2,0.034,0.034,0.017,1.0
getClusterNodes,1,0.013,0.013,0.013,1.0
