,Time,RPS
0,2024-06-05 16:22:41,6
1,2024-06-05 16:22:42,22
2,2024-06-05 16:22:43,22
3,2024-06-05 16:22:44,11
4,2024-06-05 16:22:45,22
5,2024-06-05 16:22:46,14
6,2024-06-05 16:22:48,43
7,2024-06-05 16:22:49,18
8,2024-06-05 16:22:50,23
9,2024-06-05 16:22:51,23
10,2024-06-05 16:22:52,12
11,2024-06-05 16:22:53,11
12,2024-06-05 16:22:55,221
13,2024-06-05 16:22:56,286
14,2024-06-05 16:22:57,222
15,2024-06-05 16:22:58,333
16,2024-06-05 16:22:59,194
17,2024-06-05 16:23:00,94
18,2024-06-05 16:23:01,152
19,2024-06-05 16:23:02,160
20,2024-06-05 16:23:03,146
21,2024-06-05 16:23:04,228
22,2024-06-05 16:23:05,231
23,2024-06-05 16:23:06,346
24,2024-06-05 16:23:07,334
25,2024-06-05 16:23:08,70
26,2024-06-05 16:23:09,157
27,2024-06-05 16:23:10,251
28,2024-06-05 16:23:11,126
29,2024-06-05 16:23:17,14
30,2024-06-05 16:23:18,88
31,2024-06-05 16:23:19,26
32,2024-06-05 16:23:23,1
33,2024-06-05 16:23:28,1
34,2024-06-05 16:23:30,1
35,2024-06-05 16:23:34,1
36,2024-06-05 16:23:36,1
37,2024-06-05 16:23:39,1
38,2024-06-05 16:23:42,1
39,2024-06-05 16:23:44,1
40,2024-06-05 16:23:48,1
41,2024-06-05 16:23:49,2
42,2024-06-05 16:23:54,1
43,2024-06-05 16:24:00,1
44,2024-06-05 16:24:06,1
45,2024-06-05 16:24:12,1
46,2024-06-05 16:24:13,1
47,2024-06-05 16:24:18,1
48,2024-06-05 16:24:24,1
49,2024-06-05 16:24:29,1
50,2024-06-05 16:24:30,1
51,2024-06-05 16:24:34,1
52,2024-06-05 16:24:36,1
53,2024-06-05 16:24:39,1
54,2024-06-05 16:24:42,1
55,2024-06-05 16:24:45,1
56,2024-06-05 16:24:48,1
57,2024-06-05 16:24:50,2
58,2024-06-05 16:24:53,1
59,2024-06-05 16:24:54,1
60,2024-06-05 16:24:55,1
61,2024-06-05 16:24:56,38
62,2024-06-05 16:24:57,12
63,2024-06-05 16:24:58,45
64,2024-06-05 16:24:59,90
65,2024-06-05 16:25:00,127
66,2024-06-05 16:25:01,112
67,2024-06-05 16:25:02,251
68,2024-06-05 16:25:03,135
69,2024-06-05 16:25:04,192
70,2024-06-05 16:25:05,55
71,2024-06-05 16:25:06,7
72,2024-06-05 16:25:07,11
73,2024-06-05 16:25:08,79
74,2024-06-05 16:25:09,46
75,2024-06-05 16:25:10,37
76,2024-06-05 16:25:11,113
77,2024-06-05 16:25:12,58
78,2024-06-05 16:25:13,52
79,2024-06-05 16:25:14,52
80,2024-06-05 16:25:15,42
81,2024-06-05 16:25:16,9
82,2024-06-05 16:25:17,42
83,2024-06-05 16:25:18,62
84,2024-06-05 16:25:19,44
85,2024-06-05 16:25:20,64
86,2024-06-05 16:25:21,53
87,2024-06-05 16:25:22,51
88,2024-06-05 16:25:23,42
89,2024-06-05 16:25:24,77
90,2024-06-05 16:25:25,123
91,2024-06-05 16:25:26,90
92,2024-06-05 16:25:27,95
93,2024-06-05 16:25:28,25
94,2024-06-05 16:25:29,146
95,2024-06-05 16:25:30,109
96,2024-06-05 16:25:31,78
97,2024-06-05 16:25:32,84
98,2024-06-05 16:25:33,79
99,2024-06-05 16:25:34,93
100,2024-06-05 16:25:35,84
101,2024-06-05 16:25:36,119
102,2024-06-05 16:25:37,119
103,2024-06-05 16:25:38,108
104,2024-06-05 16:25:39,81
105,2024-06-05 16:25:40,63
106,2024-06-05 16:25:41,106
107,2024-06-05 16:25:42,83
108,2024-06-05 16:25:43,93
109,2024-06-05 16:25:44,115
110,2024-06-05 16:25:45,155
111,2024-06-05 16:25:46,112
112,2024-06-05 16:25:47,103
